epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,930.429,1.15173,0.80614,1.18633,0.95936,0.94809,0.97361,0.65467,1.17075,0.52277,1.23078,0.00333006,0.00333006,0.00333006
2,1863.18,1.18291,0.66137,1.18786,0.96175,0.91576,0.95135,0.63751,1.1573,0.63688,1.22895,0.00659742,0.00659742,0.00659742
3,2791.95,1.22409,0.73357,1.22864,0.9097,0.88803,0.91995,0.60546,1.19819,0.72637,1.26859,0.00979879,0.00979879,0.00979879
4,3715.97,1.21203,0.71067,1.22694,0.97372,0.90468,0.95067,0.60614,1.25658,0.60108,1.3331,0.009703,0.009703,0.009703
5,4640.12,1.17817,0.65327,1.2141,0.97595,0.92916,0.96816,0.67636,1.10007,0.51406,1.19163,0.009604,0.009604,0.009604
6,5562.08,1.14772,0.61261,1.19851,0.97768,0.94402,0.97846,0.68133,1.1013,0.49244,1.18906,0.009505,0.009505,0.009505
7,6484.51,1.13475,0.58957,1.19972,0.98555,0.9436,0.97865,0.70098,1.06989,0.46784,1.18408,0.009406,0.009406,0.009406
8,7406.2,1.12199,0.57305,1.19439,0.98557,0.94589,0.97864,0.69317,1.07481,0.47072,1.19371,0.009307,0.009307,0.009307
9,8327.87,1.10714,0.55931,1.1876,0.98208,0.94672,0.98019,0.70042,1.07203,0.4439,1.17714,0.009208,0.009208,0.009208
10,9252.3,1.09169,0.5429,1.17592,0.98538,0.95421,0.98271,0.70615,1.05257,0.4328,1.16713,0.009109,0.009109,0.009109
11,10172.4,1.08198,0.52986,1.1582,0.98515,0.95713,0.98253,0.70047,1.06465,0.43419,1.1779,0.00901,0.00901,0.00901
12,11091.7,1.07568,0.52188,1.16024,0.98351,0.95564,0.98414,0.71419,1.04757,0.42012,1.16412,0.008911,0.008911,0.008911
13,12017,1.06722,0.51078,1.15627,0.98466,0.96025,0.98459,0.71919,1.03249,0.40903,1.15737,0.008812,0.008812,0.008812
14,12950.1,1.0706,0.51636,1.15576,0.98613,0.96169,0.98591,0.71763,1.02643,0.40471,1.15649,0.008713,0.008713,0.008713
15,13880.7,1.05785,0.49793,1.15208,0.98744,0.95671,0.98441,0.71892,1.03196,0.39607,1.15339,0.008614,0.008614,0.008614
16,14813.3,1.04866,0.49207,1.14798,0.98512,0.96469,0.98536,0.7227,1.02462,0.39427,1.14179,0.008515,0.008515,0.008515
17,929.042,1.0465,0.47878,1.14339,0.98593,0.96219,0.98897,0.73085,1.01656,0.37998,1.12934,0.008416,0.008416,0.008416
18,1867.54,1.05342,0.4887,1.13685,0.98619,0.96583,0.98925,0.72608,1.014,0.38254,1.14039,0.008317,0.008317,0.008317
19,2798.64,1.04378,0.48232,1.14035,0.98371,0.9679,0.98986,0.7234,1.01871,0.38265,1.14199,0.008218,0.008218,0.008218
20,3729.04,1.03343,0.47409,1.13639,0.98661,0.96576,0.98922,0.73179,1.0106,0.37034,1.13683,0.008119,0.008119,0.008119
21,4660.71,1.0333,0.47364,1.12823,0.98615,0.96345,0.98989,0.73615,1.01006,0.3711,1.1325,0.00802,0.00802,0.00802
22,5591,1.02798,0.46906,1.13283,0.98786,0.96547,0.98985,0.73477,1.00661,0.37001,1.12259,0.007921,0.007921,0.007921
23,6520.78,1.02657,0.46549,1.12232,0.98831,0.96764,0.99105,0.73729,0.99842,0.36201,1.12117,0.007822,0.007822,0.007822
24,7449.44,1.02718,0.46199,1.13004,0.98918,0.9701,0.99157,0.74498,0.99498,0.35766,1.12227,0.007723,0.007723,0.007723
25,8380.17,1.01676,0.46018,1.13141,0.98998,0.96687,0.99171,0.74284,0.99526,0.35445,1.12262,0.007624,0.007624,0.007624
26,907.215,1.00349,0.44033,1.11641,0.9893,0.97211,0.99046,0.74452,0.98877,0.34307,1.11449,0.007525,0.007525,0.007525
27,1817.8,1.01032,0.44774,1.11887,0.98519,0.97419,0.99164,0.74399,0.98269,0.34374,1.11267,0.007426,0.007426,0.007426
28,2727.57,1.00392,0.44078,1.11418,0.99064,0.96912,0.99263,0.74432,0.98868,0.342,1.11597,0.007327,0.007327,0.007327
29,3636.74,0.99242,0.4424,1.10996,0.98628,0.97236,0.99195,0.74849,0.98444,0.33865,1.11534,0.007228,0.007228,0.007228
30,4550.49,0.99352,0.43763,1.1094,0.98362,0.97478,0.99266,0.74551,0.98707,0.33759,1.1152,0.007129,0.007129,0.007129
31,5460.96,0.99261,0.4348,1.10684,0.98603,0.9744,0.99298,0.74572,0.98335,0.33705,1.11276,0.00703,0.00703,0.00703
32,6370.18,0.9904,0.43472,1.1083,0.98567,0.97565,0.99305,0.75012,0.97937,0.33706,1.11373,0.006931,0.006931,0.006931
33,7283.23,0.99193,0.43177,1.10585,0.98632,0.97565,0.99317,0.75306,0.97545,0.33464,1.10554,0.006832,0.006832,0.006832
34,8194.35,0.98689,0.43263,1.10939,0.98927,0.97315,0.99331,0.7503,0.97714,0.33309,1.10776,0.006733,0.006733,0.006733
35,9104.48,0.99067,0.43326,1.11051,0.98648,0.97419,0.99325,0.75394,0.97302,0.33022,1.10718,0.006634,0.006634,0.006634
36,10018.6,0.98524,0.42595,1.10462,0.9891,0.97357,0.99301,0.75193,0.97029,0.32801,1.10598,0.006535,0.006535,0.006535
37,10932,0.98395,0.42549,1.10404,0.98738,0.97714,0.99347,0.75516,0.96808,0.32349,1.10566,0.006436,0.006436,0.006436
38,11842.7,0.97966,0.42437,1.10091,0.9853,0.9762,0.99333,0.75563,0.96591,0.32296,1.10436,0.006337,0.006337,0.006337
39,12753.7,0.98612,0.42541,1.09965,0.98863,0.9769,0.99357,0.75584,0.96675,0.32139,1.10243,0.006238,0.006238,0.006238
40,13669.5,0.97537,0.42094,1.10632,0.98988,0.97721,0.99381,0.75841,0.96423,0.32022,1.1037,0.006139,0.006139,0.006139
41,14582.4,0.97475,0.41711,1.09911,0.9919,0.97544,0.99378,0.75767,0.96162,0.31875,1.10098,0.00604,0.00604,0.00604
42,905.639,0.95685,0.40042,1.09471,0.99089,0.97482,0.99398,0.76085,0.95895,0.31394,1.10089,0.005941,0.005941,0.005941
43,1822.26,0.96623,0.40907,1.09886,0.98769,0.97836,0.99394,0.75902,0.95897,0.31335,1.10116,0.005842,0.005842,0.005842
44,2730.55,0.95967,0.40707,1.09781,0.98785,0.97794,0.99395,0.76001,0.95761,0.31427,1.10078,0.005743,0.005743,0.005743
45,3639.02,0.95366,0.40566,1.09359,0.9872,0.97942,0.994,0.76084,0.95627,0.31302,1.09928,0.005644,0.005644,0.005644
46,4547.07,0.95103,0.40408,1.08808,0.98825,0.97982,0.99407,0.76253,0.95497,0.31236,1.09762,0.005545,0.005545,0.005545
47,5456.05,0.95091,0.4016,1.09097,0.98519,0.98308,0.99403,0.76189,0.955,0.31206,1.09697,0.005446,0.005446,0.005446
48,6366.25,0.94891,0.402,1.0873,0.9897,0.97794,0.99399,0.76286,0.95281,0.31096,1.09619,0.005347,0.005347,0.005347
49,7273.53,0.94613,0.39909,1.0914,0.98754,0.97981,0.994,0.76385,0.95171,0.31107,1.096,0.005248,0.005248,0.005248
50,8182.48,0.9408,0.39739,1.08572,0.988,0.97877,0.99391,0.76408,0.9504,0.30999,1.09431,0.005149,0.005149,0.005149
51,9094.02,0.93938,0.39729,1.07909,0.98762,0.97928,0.99395,0.76431,0.9497,0.30869,1.09274,0.00505,0.00505,0.00505
52,10005.8,0.9388,0.3899,1.07625,0.98722,0.98085,0.99383,0.76473,0.94898,0.30748,1.09166,0.004951,0.004951,0.004951
53,10914.7,0.93764,0.39102,1.0758,0.98753,0.98002,0.99388,0.76448,0.9474,0.30623,1.09026,0.004852,0.004852,0.004852
54,11822,0.933,0.3885,1.07833,0.98722,0.98065,0.99399,0.76526,0.94606,0.30562,1.09002,0.004753,0.004753,0.004753
55,12731.7,0.93979,0.39159,1.079,0.98779,0.98044,0.99399,0.76489,0.9453,0.30453,1.08948,0.004654,0.004654,0.004654
56,13642.2,0.93183,0.3872,1.07453,0.98867,0.98059,0.99401,0.76503,0.94397,0.30388,1.08871,0.004555,0.004555,0.004555
57,14553.5,0.93719,0.38846,1.0778,0.98868,0.98111,0.99408,0.76584,0.94286,0.30269,1.08833,0.004456,0.004456,0.004456
58,15464.5,0.94849,0.39111,1.07978,0.99031,0.9789,0.99409,0.76605,0.94147,0.30227,1.0872,0.004357,0.004357,0.004357
59,919.758,0.90254,0.36673,1.06866,0.99054,0.98054,0.99411,0.7668,0.94099,0.30155,1.08705,0.004258,0.004258,0.004258
60,1850.42,0.91281,0.37614,1.07251,0.99032,0.98065,0.9941,0.76741,0.94038,0.30114,1.08682,0.004159,0.004159,0.004159
61,2776.1,0.90603,0.37072,1.06917,0.98828,0.98249,0.99411,0.7679,0.93938,0.30099,1.08652,0.00406,0.00406,0.00406
62,3701.35,0.9049,0.3723,1.07192,0.98765,0.98335,0.9941,0.76754,0.93886,0.30057,1.08632,0.003961,0.003961,0.003961
63,4624.5,0.90197,0.36962,1.06304,0.98828,0.98293,0.99412,0.76795,0.93839,0.30032,1.08589,0.003862,0.003862,0.003862
64,5548.54,0.90333,0.3693,1.06481,0.98869,0.98249,0.99409,0.76769,0.93795,0.29998,1.0854,0.003763,0.003763,0.003763
65,6471.41,0.89991,0.37004,1.05819,0.98931,0.98243,0.99408,0.76805,0.93747,0.29937,1.08499,0.003664,0.003664,0.003664
66,7393.82,0.89607,0.36424,1.06008,0.98953,0.98318,0.99411,0.76866,0.9371,0.2995,1.0847,0.003565,0.003565,0.003565
67,8316.43,0.89572,0.36579,1.06594,0.98916,0.98335,0.99411,0.76968,0.93666,0.29906,1.08459,0.003466,0.003466,0.003466
