epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1105.95,1.39729,1.54697,1.42887,0.88159,0.81869,0.89906,0.52968,1.26974,0.68338,1.2243,0.00333039,0.00333039,0.00333039
2,2189.06,1.32734,0.96832,1.36189,0.89522,0.872,0.92557,0.54304,1.31725,0.72494,1.23189,0.00659776,0.00659776,0.00659776
3,3264.69,1.38172,1.00154,1.40275,0.85992,0.8216,0.89349,0.50426,1.37941,0.80866,1.31222,0.00979912,0.00979912,0.00979912
4,4338.88,1.38717,1.01128,1.40949,0.90092,0.83288,0.91156,0.5179,1.34763,0.73134,1.28678,0.009703,0.009703,0.009703
5,5384.55,1.32978,0.92238,1.37153,0.92148,0.88733,0.93349,0.54454,1.29254,0.67544,1.23435,0.009604,0.009604,0.009604
6,6427.52,1.2925,0.86986,1.34803,0.9408,0.89443,0.94431,0.55526,1.29738,0.6471,1.26549,0.009505,0.009505,0.009505
7,7471.51,1.26591,0.82849,1.33434,0.93074,0.90542,0.9476,0.55927,1.26912,0.62458,1.24932,0.009406,0.009406,0.009406
8,8515.54,1.23795,0.79705,1.31183,0.95165,0.92832,0.95437,0.5646,1.26819,0.59054,1.23862,0.009307,0.009307,0.009307
9,9566.49,1.22858,0.77854,1.31431,0.94726,0.93318,0.95912,0.5729,1.26533,0.59713,1.25074,0.009208,0.009208,0.009208
10,10640.4,1.21231,0.75922,1.29481,0.92909,0.94206,0.95602,0.57631,1.23754,0.5733,1.23407,0.009109,0.009109,0.009109
11,11713.9,1.19328,0.73537,1.27641,0.95987,0.93977,0.96289,0.58568,1.22632,0.54178,1.24628,0.00901,0.00901,0.00901
12,12787.2,1.18838,0.7251,1.28134,0.95692,0.94701,0.96617,0.59348,1.23194,0.54558,1.22688,0.008911,0.008911,0.008911
13,13860.7,1.1755,0.70535,1.27044,0.9633,0.9392,0.96251,0.59073,1.2252,0.53074,1.22932,0.008812,0.008812,0.008812
14,14933.8,1.16299,0.69635,1.25718,0.96439,0.94099,0.96424,0.58739,1.22559,0.53696,1.22566,0.008713,0.008713,0.008713
15,1048.26,1.15127,0.681,1.25101,0.95298,0.95013,0.96315,0.59168,1.21678,0.52847,1.21285,0.008614,0.008614,0.008614
16,2100.56,1.13874,0.67427,1.24389,0.95843,0.95215,0.96586,0.59611,1.22022,0.51186,1.20833,0.008515,0.008515,0.008515
17,3159.29,1.12351,0.65744,1.23693,0.96271,0.95871,0.96534,0.59817,1.20772,0.50908,1.19612,0.008416,0.008416,0.008416
18,4213.45,1.1117,0.64571,1.23091,0.96304,0.95218,0.96715,0.60017,1.20496,0.50458,1.22089,0.008317,0.008317,0.008317
19,5264.91,1.09669,0.6365,1.21794,0.9603,0.95076,0.96881,0.60085,1.20221,0.50423,1.19457,0.008218,0.008218,0.008218
20,6313.41,1.08918,0.62404,1.21207,0.95974,0.95443,0.96773,0.59726,1.20016,0.49325,1.21371,0.008119,0.008119,0.008119
21,7361.19,1.07959,0.61741,1.20778,0.96654,0.95079,0.97007,0.60245,1.19673,0.4972,1.20039,0.00802,0.00802,0.00802
22,8411.59,1.06844,0.60771,1.19991,0.96397,0.9583,0.96555,0.60674,1.1934,0.48404,1.22398,0.007921,0.007921,0.007921
23,9462.45,1.06378,0.6025,1.20019,0.96298,0.95855,0.96551,0.60459,1.18783,0.48589,1.20031,0.007822,0.007822,0.007822
24,10511.3,1.05864,0.59874,1.19579,0.95974,0.95826,0.97159,0.60577,1.18066,0.47208,1.2095,0.007723,0.007723,0.007723
25,11562,1.0484,0.58647,1.18512,0.96331,0.96086,0.96616,0.60656,1.18621,0.47049,1.2056,0.007624,0.007624,0.007624
26,12611.4,1.04728,0.58665,1.18441,0.96535,0.95438,0.96668,0.60984,1.19344,0.47341,1.19861,0.007525,0.007525,0.007525
27,13661.7,1.03605,0.57431,1.17433,0.96463,0.95979,0.96901,0.61063,1.19107,0.47013,1.20759,0.007426,0.007426,0.007426
28,14711.4,1.02932,0.57204,1.17837,0.96806,0.96249,0.96896,0.61083,1.18836,0.47161,1.22246,0.007327,0.007327,0.007327
29,1088.52,1.01747,0.55704,1.16945,0.97129,0.9603,0.97112,0.61165,1.18007,0.4626,1.19582,0.007228,0.007228,0.007228
30,2191.55,1.01579,0.55974,1.16727,0.96664,0.96202,0.97049,0.61233,1.18238,0.46927,1.21266,0.007129,0.007129,0.007129
31,3283.79,1.00883,0.55337,1.16414,0.97114,0.96024,0.96989,0.61248,1.18687,0.45827,1.20225,0.00703,0.00703,0.00703
32,4375.78,1.00786,0.55148,1.16124,0.96909,0.96126,0.96694,0.61312,1.17989,0.45508,1.18732,0.006931,0.006931,0.006931
33,5467.2,0.99911,0.54382,1.15542,0.96491,0.9604,0.97061,0.61174,1.18219,0.45762,1.20974,0.006832,0.006832,0.006832
34,6559.47,0.99624,0.5394,1.15595,0.96788,0.95983,0.97026,0.61571,1.17868,0.45731,1.20062,0.006733,0.006733,0.006733
35,7652.23,0.98911,0.53613,1.15105,0.96466,0.96093,0.96817,0.61307,1.18095,0.45484,1.20476,0.006634,0.006634,0.006634
36,8744.46,0.98322,0.53142,1.14776,0.96751,0.95985,0.96958,0.61462,1.1795,0.44887,1.20196,0.006535,0.006535,0.006535
